,TIMESTAMP,I_static_model_state_x,I_static_model_state_y,S_static_model_state_x,S_static_model_state_y,S_static_model_state_z,S_static_model_state_a,S_static_model_state_b,S_static_model_state_g,I_current_state_x,I_current_state_y,S_current_state_x,S_current_state_y,S_current_state_z,S_current_state_a,S_current_state_b,S_current_state_g,S_RC_STEER,S_RC_TLV_X,S_RC_TLV_Y,S_RC_TLV_Z,S_RC_TAV_X,S_RC_TAV_Y,S_RC_TAV_Z
129,4.28,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,88.61737305057243,981.8192400517399,-17.368849104269227,-19.23064203138837,0.348623483076016,0.19483976066989983,-0.007089519592709037,-0.1500444865394405,0.0,0.48721966815268825,-0.07565569548196918,-0.0009924964277208128,0.009701437772282766,0.0064205805819212885,0.005084650683065791
130,4.31,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,88.97428094327647,981.8752652297907,-17.354224585738915,-19.232937697220688,0.34860596307531005,0.1950626015888513,-0.006898019464704368,-0.1498611684187125,0.0,0.48707065395266286,-0.07610311860756953,-0.0003627306527792347,0.0070900887755655315,0.004283548734320535,0.006283658765207424
131,4.35,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,89.44833134019808,981.947288824115,-17.334800081669933,-19.23588890791495,0.3485941655966888,0.19522724097106636,-0.0067696051705007955,-0.1496095537353334,0.0,0.4848023978892294,-0.07233752460887934,-3.73469087304642e-05,0.0027724576324949677,0.001409426013841183,0.006369896198896417
132,4.39,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,89.920864349916,982.0163540244068,-17.315437753466856,-19.23871889660984,0.3485906937011653,0.195283033713951,-0.0067350298146672035,-0.14933886284637293,0.0,0.48373266778503915,-0.07000222978631583,9.335238975684303e-05,0.0006130592833230003,9.506870172703696e-05,0.007051775876776372
133,4.42,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,90.27491237812231,982.0671773738134,-17.30093041962816,-19.240801414341615,0.34858973313088354,0.1952991296825959,-0.006730156953128315,-0.1491197027497554,0.0,0.48350081032052195,-0.06914754704375106,0.00010937096487691409,7.968918928605854e-05,-0.00021672167913307322,0.007475413229296531
134,4.45,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,90.62889418807575,982.1175477228667,-17.28642579912275,-19.242865370107708,0.34858889198822884,0.19530910523024786,-0.006730304177442125,-0.14889065421818393,0.0,0.4834619017586637,-0.06865120408380299,0.00011562666050965264,-1.3126049524873592e-06,-0.0002692328645863314,0.007818341671447234
135,4.48,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,90.98288774218918,982.1677303699363,-17.271920697393224,-19.244921634670558,0.3485879455347108,0.19531542435393623,-0.006733131622111429,-0.14864480647007386,0.0,0.48349975734800793,-0.06845612299835654,0.00010304075331195481,-0.0001466826329100522,-0.0003430549889677769,0.008376021775261906
136,4.51,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,91.33692581084293,982.2178159898485,-17.257413771653265,-19.246973923486483,0.3485869653436923,0.19532246903578893,-0.0067352453007332195,-0.14838382965639246,0.0,0.48357686759297086,-0.06832496566796155,0.00011672943472772864,0.00012471265836285313,-0.00018052877971023082,0.008729980560154412
137,4.55,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,91.80905742758816,982.2844999738587,-17.238067890771998,-19.249706340392258,0.3485854592900789,0.195330745858428,-0.006738474145441152,-0.1480115166550699,0.0,0.483671348760815,-0.06822913627368062,0.00011241589435815809,6.72949751444305e-05,-0.0002011995856063403,0.009456368529007211
138,4.58,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,92.16321823072487,982.3344474832647,-17.22355593591176,-19.25175297004597,0.3485842917271271,0.19533640283665427,-0.006740895549192588,-0.14771464849908383,0.0,0.4837358605590885,-0.06817495599166683,0.00010376657518612954,-0.00011888439865050536,-0.00029776964478671504,0.010080140469576391
139,4.61,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,92.51743201331463,982.3843151487042,-17.209041810186132,-19.253796328044466,0.3485832415699733,0.19534330790468962,-0.0067419110575928955,-0.1474054906579416,0.0,0.4838083511804301,-0.06805153405695054,0.00010944865067140577,-2.989015067033618e-05,-0.0002368889801837317,0.010446221402114438
140,4.65,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,92.98979237323098,982.4506851552616,-17.18968655641395,-19.256515879532675,0.3485818873118439,0.19535100623738927,-0.006743757696923885,-0.1469724753139982,0.0,0.4838942721740881,-0.06790708989949226,0.00010979902627015558,-9.12040644598145e-05,-0.00025606994828062594,0.011036370379620564
141,4.68,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,93.34411843014887,982.5003652603784,-17.175167830179266,-19.25855155213258,0.3485809819976798,0.19535654442905975,-0.006744797935841796,-0.14663360501882203,0.0,0.48396416836555417,-0.06778548943883439,0.00011369932211178294,-6.447859107656115e-05,-0.00022449124830217228,0.01139545219500424
142,4.71,48.94488490797862,976.8096994410162,-18.99445349645356,-19.02537305026603,0.33665333573404044,0.14116285311846438,-0.014727063312674286,0.017969243616285203,93.69849297237812,982.5499516183687,-17.160647117229384,-19.260583383386816,0.3485800922505047,0.19536154407288212,-0.006745856240689252,-0.14628374974388295,0.0,0.484028253454933,-0.06766123433900834,0.00011275986390329623,-0.00012179060533371093,-0.0002457025406617529,0.011786167104437379
